URL,Priority,Direction,Start Port,End Port,Global,Regular Expression,Override Zero Trust Policy,Note
chickenkiller.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
strangled.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
mooo.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
teakwondo.one.pl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ignorelist.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
jerkface.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
madhacker.biz,0,2,0,0,1,0,0,Afraid.org 6/23/2026
internet-slackers.us,0,2,0,0,1,0,0,Afraid.org 6/23/2026
twilightparadox.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
zanity.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ohbah.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
spacetechnology.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
lovethosetrains.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
computersforpeace.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
home.kg,0,2,0,0,1,0,0,Afraid.org 6/23/2026
verymad.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
rwbcode.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
soussa-csc.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
aintno.info,0,2,0,0,1,0,0,Afraid.org 6/23/2026
mooo.info,0,2,0,0,1,0,0,Afraid.org 6/23/2026
iiiii.info,0,2,0,0,1,0,0,Afraid.org 6/23/2026
photo-frame.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
svansen.se,0,2,0,0,1,0,0,Afraid.org 6/23/2026
bot.nu,0,2,0,0,1,0,0,Afraid.org 6/23/2026
hackquest.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
nastyn8.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
undo.it,0,2,0,0,1,0,0,Afraid.org 6/23/2026
sequoiapartners.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
d-n-s.name,0,2,0,0,1,0,0,Afraid.org 6/23/2026
h-o-s-t.name,0,2,0,0,1,0,0,Afraid.org 6/23/2026
d-n-s.org.uk,0,2,0,0,1,0,0,Afraid.org 6/23/2026
n-e-t.name,0,2,0,0,1,0,0,Afraid.org 6/23/2026
r-o-o-t.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
e-m-a-i-l.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
largent.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
tworiverssoftware.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
gatesweb.info,0,2,0,0,1,0,0,Afraid.org 6/23/2026
tx2600.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
grupompr.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ittelecom.pl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
gigaportal.pl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
cuetara.name,0,2,0,0,1,0,0,Afraid.org 6/23/2026
jlengineering.se,0,2,0,0,1,0,0,Afraid.org 6/23/2026
fintech-llc.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
4twenty.us,0,2,0,0,1,0,0,Afraid.org 6/23/2026
1337.cx,0,2,0,0,1,0,0,Afraid.org 6/23/2026
fernando-botero-sculpture.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
contem.bz,0,2,0,0,1,0,0,Afraid.org 6/23/2026
paulkelly.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
embeddedonline.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ltu.one.pl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
unibutton.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
robbieb.me.uk,0,2,0,0,1,0,0,Afraid.org 6/23/2026
powermotors.com.br,0,2,0,0,1,0,0,Afraid.org 6/23/2026
fin-tech.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
darvin.one.pl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
baselinux.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ofmdirect.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
auraria.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
4040.idv.tw,0,2,0,0,1,0,0,Afraid.org 6/23/2026
radio-zvez.info,0,2,0,0,1,0,0,Afraid.org 6/23/2026
